uid,atom_index,atomic_number,element,x,y,z
424,4,6,C,2.235942,-0.694504,-0.32885
424,5,6,C,2.236017,0.694439,0.328781
424,6,6,C,0.969674,1.485597,0.039744
424,7,6,C,-1.523728,1.398636,-0.025777
424,8,6,C,-2.727328,0.700345,-0.015366
424,9,6,C,-2.72735,-0.700262,0.015312
424,10,6,C,-1.523772,-1.398589,0.025795
424,11,1,H,3.095878,1.294343,0.018377
424,12,1,H,2.301124,0.581616,1.421438
424,13,8,O,0.985088,2.697819,-0.099079
424,14,1,H,3.095841,-1.294435,-0.018606
424,15,8,O,0.98498,-2.697866,0.099
424,16,1,H,-1.497227,2.483561,-0.037801
424,17,1,H,-3.668814,1.24271,-0.025744
424,18,1,H,-3.668854,-1.2426,0.025632
424,19,1,H,-1.497304,-2.483515,0.037826
424,20,1,H,2.300851,-0.581678,-1.421519
422,1,6,C,0.0,0.622074,0.0
422,2,6,C,0.519996,-0.711837,0.0
422,3,6,C,1.92783,-0.911118,0.0
422,4,6,C,2.780707,0.16858,0.0
422,5,6,C,2.281849,1.4913,0.0
422,6,6,C,0.918812,1.712072,0.0
422,7,6,C,-1.406682,0.817238,0.0
422,8,6,C,-2.269232,-0.251852,0.0
422,9,6,C,-1.756117,-1.573616,0.0
422,10,6,C,-0.394749,-1.797404,0.0
422,11,1,H,2.970767,2.333889,0.0
422,12,8,O,0.371604,2.966859,0.0
422,13,1,H,1.089686,3.618488,0.0
422,14,1,H,3.856243,0.01269,0.0
422,15,1,H,2.318769,-1.925089,0.0
422,16,1,H,-1.793461,1.83039,0.0
422,17,1,H,-3.345819,-0.114418,0.0
422,18,1,H,-0.00499,-2.814386,0.0
422,19,8,O,-2.682431,-2.579641,0.0
422,20,1,H,-2.219061,-3.431937,0.0
420,1,6,C,-0.620612,-0.355733,0.0
420,2,6,C,0.620612,0.355733,0.0
420,3,6,C,1.85243,-0.350264,0.0
420,4,6,C,1.85243,-1.726208,0.0
420,5,6,C,0.638617,-2.450556,0.0
420,6,6,C,-0.568699,-1.78245,0.0
420,7,6,C,-1.852429,0.350264,0.0
420,8,6,C,-1.852429,1.726209,0.0
420,9,6,C,-0.638617,2.450556,0.0
420,10,6,C,0.568699,1.78245,0.0
420,11,1,H,0.655578,-3.539212,0.0
420,12,8,O,-1.774698,-2.431421,0.0
420,13,8,O,1.774697,2.431421,0.0
420,14,1,H,1.612129,3.387346,0.0
420,15,1,H,-1.612129,-3.387346,0.0
420,16,1,H,2.791917,-2.272058,0.0
420,17,1,H,-2.78088,-0.208505,0.0
420,18,1,H,-2.791917,2.272058,0.0
420,19,1,H,-0.655577,3.539212,0.0
420,20,1,H,2.78088,0.208505,0.0
418,1,6,C,-0.248278,-0.715484,0.0
418,2,6,C,-0.248276,0.715482,0.0
418,3,6,C,1.000412,1.408889,0.0
418,4,6,C,2.184728,0.708289,0.0
418,5,6,C,2.184728,-0.708298,0.0
418,6,6,C,1.000412,-1.408895,0.0
418,7,6,C,-1.48841,-1.403696,0.0
418,8,6,C,-2.677419,-0.706916,0.0
418,9,6,C,-2.677417,0.70693,0.0
418,10,6,C,-1.488406,1.403703,0.0
418,11,1,H,3.134627,-1.239398,0.0
418,12,8,O,0.937443,-2.78069,0.0
418,13,8,O,0.937437,2.780684,0.0
418,14,1,H,1.841096,3.1314,0.0
418,15,1,H,1.841104,-3.131401,0.0
418,16,1,H,3.134629,1.239385,0.0
418,17,1,H,-1.480318,-2.488111,0.0
418,18,1,H,-3.621165,-1.245864,0.0
418,19,1,H,-3.621159,1.245886,0.0
418,20,1,H,-1.480312,2.488118,0.0
359,1,6,C,0.0,0.0,0.716512
359,2,6,C,0.0,0.0,-0.716512
359,3,6,C,0.0,1.236216,-1.402431
359,4,6,C,0.0,-1.236216,-1.402431
359,5,6,C,0.0,1.236216,1.402431
359,6,6,C,0.0,-1.236216,1.402431
359,7,6,C,0.0,2.452579,-0.696255
359,8,6,C,0.0,-2.452579,-0.696255
359,9,6,C,0.0,2.452579,0.696255
359,10,6,C,0.0,-2.452579,0.696255
359,11,1,H,0.0,3.390307,-1.242748
359,12,1,H,0.0,-3.390307,-1.242748
359,13,1,H,0.0,3.390307,1.242748
359,14,1,H,0.0,-3.390307,1.242748
359,15,1,H,0.0,1.243483,-2.489165
359,16,1,H,0.0,-1.243483,-2.489165
359,17,1,H,0.0,1.243483,2.489165
359,18,1,H,0.0,-1.243483,2.489165
500,1,6,C,0.0,0.452499,0.0
500,2,6,C,0.477834,-0.897228,0.0
500,3,6,C,-0.446841,-1.966448,0.0
500,4,6,C,-1.834695,-1.722825,0.0
500,5,6,C,-2.321378,-0.427873,0.0
500,6,6,C,-1.419596,0.666019,0.0
500,7,6,C,0.916596,1.515422,0.0
500,8,6,C,2.2942,1.257363,0.0
500,9,6,C,2.77101,-0.056672,0.0
